scenario,step,energy,w:coup:GateBenefitCoupling,w:coup:QuadraticCoupling,w:local:EnergyGatingModule,w:local:SequenceConsistencyModule
agm_phase,0,0.06659082812665694,1.0,0.25,1.2,0.4
agm_phase,1,0.056209261926814566,1.0,0.25,1.2,0.4
agm_phase,2,0.04568795272176428,1.0,0.25,1.05,0.4
agm_phase,3,0.042463947573247236,1.0,0.25,1.05,0.4
agm_phase,4,0.0414224807534662,1.0,0.25,1.05,0.4
agm_phase,5,0.041421569799808794,1.0,0.25,1.05,0.4
agm_phase,6,0.041420712201186226,1.0,0.25,1.05,0.4
agm_phase,7,0.04110817691147957,1.0,0.25,1.0185,0.4
agm_phase,8,0.04078608219727799,1.0,0.25,0.987945,0.4
agm_phase,9,0.0404634354830713,1.0,0.25,0.9583066499999999,0.4
agm_phase,10,0.04046051804450104,1.0,0.25,0.9583066499999999,0.4
